,a,c
475,356950275044671499,
476,769897208383406090,.bal <@789658327348936744>
477,769897208383406090,there
478,356950275044671499,
479,769897208383406090,.give <@789658327348936744> 120000
480,270904126974590976,"<@789658327348936744> That value is not valid for this setting! This setting only accepts `enable[d]/disable[d], true/false, on/off, sure/nah, or yes/no`"
481,789658327348936744,Pls settings passive mode false
482,769897208383406090,it’s a role
483,270904126974590976,"<@579698015502204947> You gave sqocketarmy|vans|botdev **⏣ 10** after a 0% tax rate, now you have ⏣ 254,867 and they've got ⏣ 6,046"
484,579698015502204947,No
485,579698015502204947,Pls give <@!769897208383406090> 10 fish
486,789658327348936744,What is that?👀
487,270904126974590976,<@769897208383406090> Hey they're in passive mode. Leave the isolationist monk alone!
488,769897208383406090,pls give <@789658327348936744> 120000
489,789658327348936744,"Um, sure."
490,769897208383406090,do you want a bronze name <@789658327348936744>
491,789658327348936744,🙂🙂🙂
492,769897208383406090,^ <@!579698015502204947>
493,789658327348936744,Yay!
494,356950275044671499,
495,789658327348936744,.bal
496,789658327348936744,Yay!
497,356950275044671499,
498,789658327348936744,.work
499,769897208383406090,yes
